# 1 Gaussian
# 1.1 total threads: 64
keys: 21, blocks: 16, threads: 64, time(s): 0.136872
keys: 22, blocks: 16, threads: 64, time(s): 0.296834
keys: 23, blocks: 16, threads: 64, time(s): 0.665666
keys: 24, blocks: 16, threads: 64, time(s): 1.471447
# 2.6 total threads: 2048
keys: 16, blocks: 32, threads: 64, time(s): 0.002168
keys: 17, blocks: 32, threads: 64, time(s): 0.004603
keys: 18, blocks: 32, threads: 64, time(s): 0.009880
keys: 19, blocks: 32, threads: 64, time(s): 0.021106
keys: 20, blocks: 32, threads: 64, time(s): 0.052609
keys: 21, blocks: 32, threads: 64, time(s): 0.116911
keys: 22, blocks: 32, threads: 64, time(s): 0.247583
keys: 23, blocks: 32, threads: 64, time(s): 0.517021
keys: 24, blocks: 32, threads: 64, time(s): 1.170246
# 2.7 total threads: 4096
keys: 16, blocks: 64, threads: 64, time(s): 0.001573
keys: 17, blocks: 64, threads: 64, time(s): 0.004073
keys: 18, blocks: 64, threads: 64, time(s): 0.008640
keys: 19, blocks: 64, threads: 64, time(s): 0.022104
keys: 20, blocks: 64, threads: 64, time(s): 0.051697
keys: 21, blocks: 64, threads: 64, time(s): 0.130250
keys: 22, blocks: 64, threads: 64, time(s): 0.293008
keys: 23, blocks: 64, threads: 64, time(s): 0.729698
keys: 24, blocks: 64, threads: 64, time(s): 1.636613



# 3. Uniform 0~255
# 3.1 total threads: 64
keys: 16, blocks: 1, threads: 64, time(s): 0.037190
keys: 17, blocks: 1, threads: 64, time(s): 0.078471
keys: 18, blocks: 1, threads: 64, time(s): 0.166940
keys: 19, blocks: 1, threads: 64, time(s): 0.332659
keys: 20, blocks: 1, threads: 64, time(s): 0.740516
keys: 21, blocks: 1, threads: 64, time(s): 1.609092
keys: 22, blocks: 1, threads: 64, time(s): 3.404270
keys: 23, blocks: 1, threads: 64, time(s): 7.413261
keys: 24, blocks: 1, threads: 64, time(s): 16.385847
# 3.2 total threads: 128
keys: 16, blocks: 2, threads: 64, time(s): 0.015459
keys: 17, blocks: 2, threads: 64, time(s): 0.033407
keys: 18, blocks: 2, threads: 64, time(s): 0.076761
keys: 19, blocks: 2, threads: 64, time(s): 0.169624
keys: 20, blocks: 2, threads: 64, time(s): 0.370514
keys: 21, blocks: 2, threads: 64, time(s): 0.806849
keys: 22, blocks: 2, threads: 64, time(s): 1.758874
keys: 23, blocks: 2, threads: 64, time(s): 3.755618
keys: 24, blocks: 2, threads: 64, time(s): 8.291223
# 3.3 total threads: 256
keys: 16, blocks: 4, threads: 64, time(s): 0.007773
keys: 17, blocks: 4, threads: 64, time(s): 0.016810
keys: 18, blocks: 4, threads: 64, time(s): 0.039530
keys: 19, blocks: 4, threads: 64, time(s): 0.086056
keys: 20, blocks: 4, threads: 64, time(s): 0.186314
keys: 21, blocks: 4, threads: 64, time(s): 0.407202
keys: 22, blocks: 4, threads: 64, time(s): 0.917099
keys: 23, blocks: 4, threads: 64, time(s): 1.917450
keys: 24, blocks: 4, threads: 64, time(s): 4.068682
# 3.4 total threads: 512
keys: 16, blocks: 8, threads: 64, time(s): 0.004361
keys: 17, blocks: 8, threads: 64, time(s): 0.009047
keys: 18, blocks: 8, threads: 64, time(s): 0.021321
keys: 19, blocks: 8, threads: 64, time(s): 0.046927
keys: 20, blocks: 8, threads: 64, time(s): 0.099770
keys: 21, blocks: 8, threads: 64, time(s): 0.214332
keys: 22, blocks: 8, threads: 64, time(s): 0.469387
keys: 23, blocks: 8, threads: 64, time(s): 1.030692
keys: 24, blocks: 8, threads: 64, time(s): 2.207962
# 3.5 total threads: 1024
keys: 16, blocks: 16, threads: 64, time(s): 0.002577
keys: 17, blocks: 16, threads: 64, time(s): 0.005307
keys: 18, blocks: 16, threads: 64, time(s): 0.012439
keys: 19, blocks: 16, threads: 64, time(s): 0.027944
keys: 20, blocks: 16, threads: 64, time(s): 0.059099
keys: 21, blocks: 16, threads: 64, time(s): 0.125213
keys: 22, blocks: 16, threads: 64, time(s): 0.268683
keys: 23, blocks: 16, threads: 64, time(s): 0.604393
keys: 24, blocks: 16, threads: 64, time(s): 1.332913
# 3.6 total threads: 2048
keys: 16, blocks: 32, threads: 64, time(s): 0.001914
keys: 17, blocks: 32, threads: 64, time(s): 0.003769
keys: 18, blocks: 32, threads: 64, time(s): 0.008528
keys: 19, blocks: 32, threads: 64, time(s): 0.018874
keys: 20, blocks: 32, threads: 64, time(s): 0.045744
keys: 21, blocks: 32, threads: 64, time(s): 0.097134
keys: 22, blocks: 32, threads: 64, time(s): 0.209755
keys: 23, blocks: 32, threads: 64, time(s): 0.444144
keys: 24, blocks: 32, threads: 64, time(s): 1.030089
# 3.7 total threads: 4096
keys: 16, blocks: 64, threads: 64, time(s): 0.001432
keys: 17, blocks: 64, threads: 64, time(s): 0.003511
keys: 18, blocks: 64, threads: 64, time(s): 0.007864
keys: 19, blocks: 64, threads: 64, time(s): 0.018835
keys: 20, blocks: 64, threads: 64, time(s): 0.043822
keys: 21, blocks: 64, threads: 64, time(s): 0.118497
keys: 22, blocks: 64, threads: 64, time(s): 0.254043
keys: 23, blocks: 64, threads: 64, time(s): 0.617682
keys: 24, blocks: 64, threads: 64, time(s): 1.343316

